Concept,NarrowerConcept
http://dbpedia.org/resource/Category:Cloud_platforms,http://dbpedia.org/resource/Category:Cloud_databases
http://dbpedia.org/resource/Category:Cloud_platforms,http://dbpedia.org/resource/Category:Cloud_communication_platforms
http://dbpedia.org/resource/Category:Cloud_platforms,http://dbpedia.org/resource/Category:Open-source_cloud_hosting_services
http://dbpedia.org/resource/Category:Cloud_platforms,http://dbpedia.org/resource/Category:Oracle_Cloud_Services
http://dbpedia.org/resource/Category:Cloud_platforms,http://dbpedia.org/resource/Category:Amazon_Web_Services
http://dbpedia.org/resource/Category:Cloud_platforms,http://dbpedia.org/resource/Category:Microsoft_cloud_services
http://dbpedia.org/resource/Category:Cloud_computing,http://dbpedia.org/resource/Category:Serverless_computing
http://dbpedia.org/resource/Category:Cloud_computing,http://dbpedia.org/resource/Category:Cloud_infrastructure
http://dbpedia.org/resource/Category:Cloud_infrastructure,http://dbpedia.org/resource/Category:Alibaba_Cloud
http://dbpedia.org/resource/Category:Cloud_infrastructure,http://dbpedia.org/resource/Category:Google_Cloud
http://dbpedia.org/resource/Category:Cloud_infrastructure,http://dbpedia.org/resource/Category:Cloud_infrastructure_attacks_and_failures
http://dbpedia.org/resource/Category:Cloud_infrastructure,http://dbpedia.org/resource/Category:IBM_cloud_services
http://dbpedia.org/resource/Category:Cloud_infrastructure,http://dbpedia.org/resource/Category:Oracle_Cloud_Services
http://dbpedia.org/resource/Category:Cloud_infrastructure,http://dbpedia.org/resource/Category:Amazon_Web_Services
http://dbpedia.org/resource/Category:Cloud_infrastructure,http://dbpedia.org/resource/Category:Microsoft_cloud_services
http://dbpedia.org/resource/Category:Cloud_computing,http://dbpedia.org/resource/Category:Cloud_storage_gateways
http://dbpedia.org/resource/Category:Cloud_computing,http://dbpedia.org/resource/Category:Nextcloud
